1 epoch, LR 0.001000, LOSS 16.314806, ACC 0.00%, EER 7.37%, bestEER 7.37%
2 epoch, LR 0.000970, LOSS 14.752918, ACC 0.00%, EER 7.48%, bestEER 7.37%
3 epoch, LR 0.000941, LOSS 13.284463, ACC 0.01%, EER 7.55%, bestEER 7.37%
4 epoch, LR 0.000913, LOSS 11.957432, ACC 0.10%, EER 7.70%, bestEER 7.37%
5 epoch, LR 0.000885, LOSS 10.841856, ACC 0.36%, EER 7.66%, bestEER 7.37%
6 epoch, LR 0.000859, LOSS 9.893560, ACC 1.11%, EER 7.67%, bestEER 7.37%
7 epoch, LR 0.000833, LOSS 9.110784, ACC 1.80%, EER 7.70%, bestEER 7.37%
8 epoch, LR 0.000808, LOSS 8.426479, ACC 2.72%, EER 7.61%, bestEER 7.37%
9 epoch, LR 0.000784, LOSS 7.850114, ACC 3.53%, EER 7.65%, bestEER 7.37%
10 epoch, LR 0.000760, LOSS 7.351727, ACC 4.52%, EER 7.62%, bestEER 7.37%
11 epoch, LR 0.000737, LOSS 6.909206, ACC 5.56%, EER 7.47%, bestEER 7.37%
12 epoch, LR 0.000715, LOSS 6.515461, ACC 6.88%, EER 7.42%, bestEER 7.37%
13 epoch, LR 0.000694, LOSS 6.159258, ACC 8.35%, EER 7.34%, bestEER 7.34%
14 epoch, LR 0.000673, LOSS 5.842967, ACC 9.67%, EER 7.24%, bestEER 7.24%
15 epoch, LR 0.000653, LOSS 5.553774, ACC 10.92%, EER 7.12%, bestEER 7.12%
16 epoch, LR 0.000633, LOSS 5.296895, ACC 12.62%, EER 7.14%, bestEER 7.12%
17 epoch, LR 0.000614, LOSS 5.083009, ACC 13.47%, EER 7.08%, bestEER 7.08%
18 epoch, LR 0.000596, LOSS 4.850448, ACC 15.34%, EER 6.94%, bestEER 6.94%
19 epoch, LR 0.000578, LOSS 4.656077, ACC 16.85%, EER 6.98%, bestEER 6.94%
20 epoch, LR 0.000561, LOSS 4.501122, ACC 18.02%, EER 6.88%, bestEER 6.88%
21 epoch, LR 0.000544, LOSS 4.328426, ACC 19.25%, EER 6.83%, bestEER 6.83%
22 epoch, LR 0.000527, LOSS 4.179879, ACC 20.44%, EER 6.77%, bestEER 6.77%
23 epoch, LR 0.000512, LOSS 4.054597, ACC 21.59%, EER 6.72%, bestEER 6.72%
