1 epoch, LR 0.001000, LOSS 16.563379, ACC 0.00%, EER 41.15%, bestEER 41.15%
2 epoch, LR 0.000970, LOSS 14.163586, ACC 0.00%, EER 38.80%, bestEER 38.80%
3 epoch, LR 0.000941, LOSS 12.255510, ACC 0.00%, EER 35.35%, bestEER 35.35%
4 epoch, LR 0.000913, LOSS 10.610897, ACC 0.33%, EER 32.76%, bestEER 32.76%
5 epoch, LR 0.000885, LOSS 9.135329, ACC 1.69%, EER 30.76%, bestEER 30.76%
6 epoch, LR 0.000859, LOSS 7.831573, ACC 5.27%, EER 29.19%, bestEER 29.19%
7 epoch, LR 0.000833, LOSS 6.661052, ACC 11.42%, EER 28.09%, bestEER 28.09%
8 epoch, LR 0.000808, LOSS 5.636991, ACC 19.49%, EER 27.78%, bestEER 27.78%
9 epoch, LR 0.000784, LOSS 4.747552, ACC 28.16%, EER 27.13%, bestEER 27.13%
10 epoch, LR 0.000760, LOSS 4.037534, ACC 36.10%, EER 26.48%, bestEER 26.48%
11 epoch, LR 0.000737, LOSS 3.427942, ACC 42.21%, EER 26.07%, bestEER 26.07%
12 epoch, LR 0.000715, LOSS 2.946433, ACC 47.26%, EER 25.62%, bestEER 25.62%
13 epoch, LR 0.000694, LOSS 2.583688, ACC 50.75%, EER 25.41%, bestEER 25.41%
14 epoch, LR 0.000673, LOSS 2.275546, ACC 53.30%, EER 25.05%, bestEER 25.05%
15 epoch, LR 0.000653, LOSS 2.035280, ACC 54.80%, EER 24.95%, bestEER 24.95%
16 epoch, LR 0.000633, LOSS 1.875361, ACC 56.11%, EER 24.91%, bestEER 24.91%
17 epoch, LR 0.000614, LOSS 1.717637, ACC 57.41%, EER 24.72%, bestEER 24.72%
18 epoch, LR 0.000596, LOSS 1.601139, ACC 58.13%, EER 24.61%, bestEER 24.61%
19 epoch, LR 0.000578, LOSS 1.504857, ACC 58.85%, EER 24.33%, bestEER 24.33%
20 epoch, LR 0.000561, LOSS 1.409197, ACC 59.49%, EER 24.32%, bestEER 24.32%
21 epoch, LR 0.000544, LOSS 1.318598, ACC 60.30%, EER 24.17%, bestEER 24.17%
22 epoch, LR 0.000527, LOSS 1.255968, ACC 61.01%, EER 24.15%, bestEER 24.15%
23 epoch, LR 0.000512, LOSS 1.208169, ACC 61.42%, EER 23.93%, bestEER 23.93%
24 epoch, LR 0.000496, LOSS 1.150966, ACC 61.77%, EER 23.87%, bestEER 23.87%
25 epoch, LR 0.000481, LOSS 1.105551, ACC 62.29%, EER 23.75%, bestEER 23.75%
26 epoch, LR 0.000467, LOSS 1.045232, ACC 63.07%, EER 23.67%, bestEER 23.67%
27 epoch, LR 0.000453, LOSS 1.016452, ACC 63.14%, EER 23.62%, bestEER 23.62%
28 epoch, LR 0.000439, LOSS 0.983005, ACC 63.43%, EER 23.55%, bestEER 23.55%
29 epoch, LR 0.000426, LOSS 0.939479, ACC 63.83%, EER 23.33%, bestEER 23.33%
30 epoch, LR 0.000413, LOSS 0.913507, ACC 63.99%, EER 23.35%, bestEER 23.33%
31 epoch, LR 0.000401, LOSS 0.880341, ACC 64.41%, EER 23.32%, bestEER 23.32%
32 epoch, LR 0.000389, LOSS 0.887520, ACC 64.18%, EER 23.18%, bestEER 23.18%
33 epoch, LR 0.000377, LOSS 0.838579, ACC 64.78%, EER 23.14%, bestEER 23.14%
34 epoch, LR 0.000366, LOSS 0.825736, ACC 64.94%, EER 23.15%, bestEER 23.14%
35 epoch, LR 0.000355, LOSS 0.801299, ACC 65.17%, EER 23.33%, bestEER 23.14%
36 epoch, LR 0.000344, LOSS 0.789559, ACC 65.20%, EER 23.00%, bestEER 23.00%
37 epoch, LR 0.000334, LOSS 0.769254, ACC 65.54%, EER 23.06%, bestEER 23.00%
38 epoch, LR 0.000324, LOSS 0.752760, ACC 65.43%, EER 22.95%, bestEER 22.95%
39 epoch, LR 0.000314, LOSS 0.741793, ACC 65.67%, EER 22.81%, bestEER 22.81%
40 epoch, LR 0.000305, LOSS 0.735955, ACC 65.63%, EER 22.92%, bestEER 22.81%
41 epoch, LR 0.000296, LOSS 0.714856, ACC 65.79%, EER 22.75%, bestEER 22.75%
42 epoch, LR 0.000287, LOSS 0.710335, ACC 66.04%, EER 22.75%, bestEER 22.75%
43 epoch, LR 0.000278, LOSS 0.687454, ACC 66.26%, EER 22.70%, bestEER 22.70%
44 epoch, LR 0.000270, LOSS 0.675577, ACC 66.43%, EER 22.76%, bestEER 22.70%
45 epoch, LR 0.000262, LOSS 0.663020, ACC 66.32%, EER 22.77%, bestEER 22.70%
46 epoch, LR 0.000254, LOSS 0.654747, ACC 66.40%, EER 22.70%, bestEER 22.70%
47 epoch, LR 0.000246, LOSS 0.650359, ACC 66.50%, EER 22.54%, bestEER 22.54%
48 epoch, LR 0.000239, LOSS 0.654959, ACC 66.45%, EER 22.56%, bestEER 22.54%
49 epoch, LR 0.000232, LOSS 0.625975, ACC 66.78%, EER 22.67%, bestEER 22.54%
50 epoch, LR 0.000225, LOSS 0.616197, ACC 66.81%, EER 22.62%, bestEER 22.54%
51 epoch, LR 0.000218, LOSS 0.612768, ACC 66.82%, EER 22.50%, bestEER 22.50%
52 epoch, LR 0.000212, LOSS 0.618905, ACC 66.72%, EER 22.40%, bestEER 22.40%
53 epoch, LR 0.000205, LOSS 0.617734, ACC 66.81%, EER 22.48%, bestEER 22.40%
54 epoch, LR 0.000199, LOSS 0.593214, ACC 66.98%, EER 22.57%, bestEER 22.40%
55 epoch, LR 0.000193, LOSS 0.599023, ACC 66.96%, EER 22.41%, bestEER 22.40%
